Date	Open	High	Low	Close	Adj Close	Volume
7/16/18	279.640015	279.799988	278.839996	279.339996	273.921997	48201000
7/17/18	278.470001	280.910004	278.410004	280.470001	275.030151	52315500
7/18/18	280.559998	281.179993	280.059998	281.059998	275.608673	44593500
7/19/18	280.309998	280.73999	279.459991	280	274.569244	61412100
7/20/18	279.769989	280.480011	279.5	279.679993	274.255432	82337700
7/23/18	279.450012	280.429993	279.059998	280.200012	274.76535	47047600
7/24/18	281.790009	282.559998	280.630005	281.609985	276.14798	68026900
7/25/18	281.329987	284.369995	281.279999	284.01001	278.501434	78882900
7/26/18	283.200012	284.109985	283.089996	283.339996	277.844452	57919500
7/27/18	283.709991	283.820007	280.380005	281.420013	275.9617	76768700
7/30/18	281.51001	281.690002	279.359985	279.950012	274.520233	63742500
7/31/18	280.809998	282.019989	280.380005	281.329987	275.873383	68570500
8/1/18	281.559998	282.130005	280.130005	280.859985	275.412537	53853300
8/2/18	279.390015	282.579987	279.160004	282.390015	276.912933	63426400
8/3/18	282.529999	283.660004	282.329987	283.600006	278.099396	53935400
8/6/18	283.640015	284.98999	283.200012	284.640015	279.119232	39400900
8/7/18	285.390015	286.01001	285.23999	285.579987	280.040985	43196600
8/8/18	285.390015	285.910004	284.940002	285.459991	279.923309	42114600
8/9/18	285.529999	285.970001	284.920013	285.070007	279.540894	35717000
8/10/18	283.450012	284.059998	282.359985	283.160004	277.667938	77076000
8/13/18	283.470001	284.160004	281.769989	282.100006	276.62851	65732900
8/14/18	282.920013	284.170013	282.480011	283.899994	278.393585	43842000
8/15/18	282.380005	282.540009	280.160004	281.779999	276.314697	102925400
8/16/18	283.399994	285.040009	283.359985	284.059998	278.550507	69967900
8/17/18	283.829987	285.559998	283.369995	285.059998	279.531097	65618500
8/20/18	285.570007	285.970001	285.059998	285.670013	280.129272	39807500
8/21/18	286.25	287.309998	285.709991	286.339996	280.786255	67272000
8/22/18	285.880005	286.76001	285.579987	286.170013	280.619568	44993300
8/23/18	285.970001	286.940002	285.429993	285.790009	280.246948	49204900
8/24/18	286.440002	287.670013	286.380005	287.51001	281.933533	57487400
8/27/18	288.859985	289.899994	288.679993	289.779999	284.159576	57072400
8/28/18	290.299988	290.420013	289.399994	289.920013	284.296844	46943500
8/29/18	290.160004	291.73999	289.890015	291.480011	285.826569	61485500
8/30/18	290.940002	291.359985	289.630005	290.299988	284.669434	61229500
8/31/18	289.839996	290.809998	289.290009	290.309998	284.67926	66140800
9/4/18	289.839996	290.209991	288.679993	289.809998	284.188934	57594400
9/5/18	289.410004	289.640015	287.890015	289.029999	283.424072	72452400
